Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0681.NEF,-0.9958976463484426,-0.005125329964802674,4490.065229643172,0.007497488780797116,-1.0046038488473863,2827.6519009689664,3.8172462748063936e-06,-6.194597250337778e-07,1.0
A&W1,DSC_0682.NEF,-0.9940924219965941,-0.0071849203302813925,4485.5971188772455,0.008164116384632731,-1.0045700010013503,2826.6683855421616,4.300111010208939e-06,-2.011942629573014e-06,1.0
A&W1,DSC_0683.NEF,-0.9953396016181965,-0.005131634411355929,4484.921727042498,0.006718353608729481,-1.0035496663131211,2827.0335976730244,3.358921117417337e-06,-8.438508887270202e-07,1.0
A&W1,DSC_0684.NEF,-0.9952639490505927,-0.0060338236809507825,4486.582391642937,0.00771330802663598,-1.0032653609670876,2821.558878174133,3.1141514670255325e-06,-6.792918625757028e-07,1.0
A&W1,DSC_0685.NEF,-0.9962636084101554,-0.004352297185283538,4487.917093374916,0.007760128443031234,-1.0043067039124347,2823.9269756172694,3.6001284434052566e-06,-5.951356292306983e-07,1.0
A&W1,DSC_0688.NEF,-0.9923287036132447,-0.009655152065050378,4481.58404640635,0.008160676053987164,-1.0029674422547246,2820.110799243322,4.170986203858243e-06,-3.244799673197151e-06,1.0
A&W2,DSC_0719.NEF,-1.004504026332783,0.0011156413192135806,4293.710698080328,0.003160762958974646,-1.0002420344772982,3106.391212688278,-4.995266655015009e-07,2.9217077754946353e-06,0.9999999999999999
A&W2,DSC_0720.NEF,-1.0048945747827616,0.0021731269616419757,4293.117603512631,0.0032188640489608333,-0.9999375688619616,3106.8935671546183,-8.502071871377306e-07,3.693382863153534e-06,1.0
A&W2,DSC_0721.NEF,-1.0040288124355974,0.0009255443134201211,4291.461874984168,0.0030253538883653827,-0.9989640522266493,3099.340647793591,-9.729811071855189e-07,3.226116391931249e-06,0.9999999999999999
A&W2,DSC_0722.NEF,-1.0043780919107186,-0.001935007209890545,4299.276916044987,0.006734082458884998,-0.9985516690738315,3094.7538788925212,-1.1548811061771e-06,3.742181572296477e-06,1.0
A&W2,DSC_0723.NEF,-1.0009495938333186,-0.0023589325591879895,4285.530502945618,0.005598984731512942,-0.998822746620344,3101.8331142130774,-1.4723594042473086e-06,2.515157058332024e-06,0.9999999999999999
A&W2,DSC_0724.NEF,-1.0037445315303533,-0.001081025310215541,4294.971671021182,0.006001583846388986,-0.9992775606468853,3102.558072930269,-1.0993986894196947e-06,3.1853177298508248e-06,1.0
A&W2,DSC_0725.NEF,-1.0028719297471795,-0.0021163799253657266,4291.711728922,0.00578116666631368,-0.9991838283098252,3098.472132226162,-9.462867637764342e-07,2.3439767664968167e-06,1.0
A&W2,DSC_0726.NEF,-0.9999603506039597,-0.0036641505062107193,4285.642719700941,0.006286969413854205,-0.9989559276476878,3099.2127768298956,-1.1584609928716157e-06,2.00726219551756e-06,1.0
